OBJECTID,ZIP,ZIPCODE,COUNTY,ZIP_TYPE,Shape_Length,Shape_Area,COUNTY_NAME,PREFERRED_CITY
1,98001,98001,033,Standard,148134.771476061,526121353.974295,King County,AUBURN
2,98002,98002,033,Standard,105168.476822799,204445228.297903,King County,AUBURN
3,98003,98003,033,Standard,121645.069928393,316981231.584502,King County,FEDERAL WAY
4,98004,98004,033,Standard,108801.063325788,201451202.931717,King County,BELLEVUE
5,98005,98005,033,Standard,116930.354130937,211273337.580274,King County,BELLEVUE
6,98006,98006,033,Standard,108583.952116362,322552207.970877,King County,BELLEVUE
7,98007,98007,033,Standard,113766.570642484,116056757.661735,King County,BELLEVUE
8,98008,98008,033,Standard,93287.4807701551,153643021.770891,King County,BELLEVUE
9,98010,98010,033,Standard,134379.979850911,518397792.753291,King County,BLACK DIAMOND
10,98011,98011,033,Standard,73480.1794230176,197850023.354835,King County,BOTHELL
11,98011,98011,061,Standard,2710.68922786643,150283.790724959,Snohomish County,BOTHELL
12,98012,98012,061,Standard,112199.069878848,422046666.341625,Snohomish County,BOTHELL
13,98014,98014,033,Standard,227524.533743361,1160183705.47592,King County,CARNATION
14,98019,98019,033,Standard,312686.671566078,3189331496.64961,King County,DUVALL
15,98019,98019,061,Standard,7976.11143896636,2266669.88920626,Snohomish County,DUVALL
16,98020,98020,061,Standard,66203.7135701415,142247023.214042,Snohomish County,EDMONDS
17,98021,98021,061,Standard,103819.800609467,272544934.806759,Snohomish County,BOTHELL
18,98022,98022,033,Standard,734601.564889546,11361441816.0042,King County,ENUMCLAW
19,98022,98022,053,Standard,295979.59225798,2507633660.90162,Pierce County,ENUMCLAW
20,98023,98023,033,Standard,92184.5953359529,290551886.543622,King County,FEDERAL WAY
21,98024,98024,033,Standard,366255.516208977,2194725626.70308,King County,FALL CITY
22,98026,98026,061,Standard,133289.423884277,258888373.428059,Snohomish County,EDMONDS
23,98027,98027,033,Standard,280090.861845059,1588700338.64229,King County,ISSAQUAH
24,98028,98028,033,Standard,75146.2220218774,173233183.696838,King County,KENMORE
25,98029,98029,033,Standard,113455.343980509,270219334.639913,King County,ISSAQUAH
26,98030,98030,033,Standard,94349.8180148396,200119664.086372,King County,KENT
27,98031,98031,033,Standard,116930.42881455,228054211.211566,King County,KENT
28,98032,98032,033,Standard,162578.137630594,480428912.045043,King County,KENT
29,98033,98033,033,Standard,99072.3845867416,256873975.405078,King County,KIRKLAND
30,98034,98034,033,Standard,95926.5693411059,272328920.736234,King County,KIRKLAND
31,98036,98036,061,Standard,111908.700992278,267158459.054991,Snohomish County,LYNNWOOD
32,98037,98037,061,Standard,78136.4159390061,168863901.907376,Snohomish County,LYNNWOOD
33,98038,98038,033,Standard,315896.766090816,1649765965.09348,King County,MAPLE VALLEY
34,98039,98039,033,Standard,37222.7269612951,39346823.5767694,King County,MEDINA
35,98040,98040,033,Standard,75519.6591026005,175584208.596036,King County,MERCER ISLAND
36,98042,98042,033,Standard,208579.219093387,762832084.115121,King County,KENT
37,98043,98043,061,Standard,46970.6897693763,115804612.755818,Snohomish County,MOUNTLAKE TERRACE
38,98045,98045,033,Standard,640381.131332578,8056291069.72413,King County,NORTH BEND
39,98047,98047,033,Standard,41647.2478662608,48681262.8408739,King County,PACIFIC
40,98047,98047,053,Standard,19937.7304027148,19319883.4562564,Pierce County,PACIFIC
41,98050,98050,033,Standard,62720.6505376445,39535965.4162419,King County,PRESTON
42,98051,98051,033,Standard,211663.339565828,1150005809.72744,King County,RAVENSDALE
43,98052,98052,033,Standard,167026.535902539,546866727.75738,King County,REDMOND
44,98053,98053,033,Standard,199008.592886837,771625783.142724,King County,REDMOND
45,98055,98055,033,Standard,67549.040161188,124512596.378541,King County,RENTON
46,98056,98056,033,Standard,91939.8024901663,198255319.850878,King County,RENTON
47,98057,98057,033,Standard,85001.2431123503,184608915.074618,King County,RENTON
48,98058,98058,033,Standard,172557.150593058,627622243.936422,King County,RENTON
49,98059,98059,033,Standard,146091.39130467,462163566.650114,King County,RENTON
50,98065,98065,033,Standard,345717.472070119,2404508901.03057,King County,SNOQUALMIE
51,98068,98068,033,PO Box,13157.5200927391,2820205.0178678,King County,SNOQUALMIE PASS
52,98068,98068,037,PO Box,220130.818473637,1770029111.04895,Kittitas County,SNOQUALMIE PASS
53,98070,98070,033,Standard,272819.693396191,1010295820.04487,King County,VASHON
54,98072,98072,033,Standard,118806.069869376,368741989.417852,King County,WOODINVILLE
55,98072,98072,061,Standard,78248.2343957091,151344185.85668,Snohomish County,WOODINVILLE
56,98074,98074,033,Standard,115554.667658032,327749795.429323,King County,SAMMAMISH
57,98075,98075,033,Standard,126714.367013584,290322990.102129,King County,SAMMAMIISH
58,98077,98077,033,Standard,117061.095407962,419740022.552726,King County,WOODINVILLE
59,98077,98077,061,Standard,50110.1240030627,75926072.5352454,Snohomish County,WOODINVILLE
60,98087,98087,061,Standard,68003.5198361596,156580450.322233,Snohomish County,LYNNWOOD
61,98092,98092,033,Standard,266634.927532791,1212408006.32272,King County,AUBURN
62,98092,98092,053,Standard,35672.5520369753,46337339.4642583,Pierce County,AUBURN
63,98101,98101,033,Standard,23748.4588043974,14673823.8986095,King County,SEATTLE
64,98102,98102,033,Standard,37488.7807910592,43221885.4995682,King County,SEATTLE
65,98103,98103,033,Standard,72628.5599181018,143997337.405488,King County,SEATTLE
66,98104,98104,033,Standard,36425.1186548463,20982559.2140128,King County,SEATTLE
67,98105,98105,033,Standard,77943.0942340667,97051831.3426153,King County,SEATTLE
68,98106,98106,033,Standard,80455.7901297413,148002386.892324,King County,SEATTLE
69,98107,98107,033,Standard,53097.1354850423,65501026.0614425,King County,SEATTLE
70,98108,98108,033,Standard,84971.3138009158,215211172.382826,King County,SEATTLE
71,98109,98109,033,Standard,40749.0341774633,66355767.7691773,King County,SEATTLE
72,98110,98110,035,Standard,261622.880832056,757413743.748941,Kitsap County,BAINBRIDGE ISLAND
73,98112,98112,033,Standard,65751.6834750272,88124005.2852771,King County,SEATTLE
74,98115,98115,033,Standard,77632.4079321563,181317359.611932,King County,SEATTLE
75,98116,98116,033,Standard,46388.4633556365,81507188.5247749,King County,SEATTLE
76,98117,98117,033,Standard,55894.1915550347,107307326.762175,King County,SEATTLE
77,98118,98118,033,Standard,92383.4316127201,170693409.298752,King County,SEATTLE
78,98119,98119,033,Standard,58359.9105684518,77387613.4002916,King County,SEATTLE
79,98121,98121,033,Standard,25270.263640349,12252192.9647896,King County,SEATTLE
80,98122,98122,033,Standard,49404.3813460707,64639224.3102612,King County,SEATTLE
81,98125,98125,033,Standard,66923.8597162045,149681846.041029,King County,SEATTLE
82,98126,98126,033,Standard,83599.9494316702,96510352.6498037,King County,SEATTLE
